No.,문항,구분
721,나는 주변에 사람들이 있는 것을 좋아한다.,FIRO-B
722,나는 사람들이 내 방식대로 일을 하도록 하려 한다.,FIRO-B
723,나는 혼자 있는 것을 피하려 한다.,FIRO-B
724,나는 사람들이 나를 위해 무언가 해 주도록 만들려 한다.,FIRO-B
725,나는 주변에 사람들이 있는 것을 좋아한다.,FIRO-B
726,나는 사람들과 가깝고 개인적으로 지내려고 한다.,FIRO-B
727,나는 친밀한 개인적 관계를 피하려 한다.,FIRO-B
728,나는 필요할 때 다른 사람들이 나를 도와줄 것이라고 느낀다,ASQ-SF
729,나는 다른 사람보다는 나 자신에게 의존하는 것을 선호한다,ASQ-SF
730,나는 혼자 있는 것을 선호한다,ASQ-SF
731,관계를 쌓는 것보다 성취하는 것이 더 중요하다고 느낀다,ASQ-SF
732,다른 사람들과 잘 지내는 것보다 최선을 다하는 것이 더 중요하다,ASQ-SF
733,"해야 할 일이 있다면, 누군가가 상처받더라도 그것을 해야 한다고 생각한다",ASQ-SF
734,다른 사람들이 나를 좋아해 주는 것이 중요하다,ASQ-SF
735,다른 사람들이 어떻게 생각하는지 알지 못하면 결정을 내리기 어렵다,ASQ-SF
736,나의 인간관계는 전반적으로 피상적인 편이다,ASQ-SF
737,나는 때때로 내가 전혀 쓸모없는 사람이라고 느낀다,ASQ-SF
738,나는 다른 사람을 신뢰하는 것이 어렵다,ASQ-SF
739,나는 다른 사람에게 의존하는 것이 어렵다,ASQ-SF
740,다른 사람들이 내가 원하는 만큼 가까워지기를 꺼리는 것 같다,ASQ-SF
741,나는 다른 사람과 가까워지는 것이 비교적 쉽다,ASQ-SF
742,나는 다른 사람을 쉽게 신뢰한다,ASQ-SF
743,나는 다른 사람에게 의존하는 것이 편안하다,ASQ-SF
744,다른 사람들이 나를 내가 그들을 아끼는 만큼 아끼지 않을까 봐 걱정한다,ASQ-SF
745,사람들이 나에게 너무 가까워지는 것이 걱정된다,ASQ-SF
746,나는 다른 사람들에 비해 부족하다고 느낄까 봐 걱정한다,ASQ-SF
747,다른 사람과 가까워지는 것에 대해 복잡한 감정을 느낀다,ASQ-SF
748,왜 사람들이 나와 관계를 맺고 싶어 하는지 궁금할 때가 있다,ASQ-SF
749,나는 나의 인간관계에 대해 많이 걱정한다,ASQ-SF
750,나를 사랑해 주는 사람이 없다면 어떻게 살아갈지 걱정된다,ASQ-SF
751,나는 다른 사람들과 관계를 맺는 데 자신이 있다,ASQ-SF
752,나는 종종 소외되거나 외롭다고 느낀다,ASQ-SF
753,나는 다른 사람들과 잘 어울리지 못한다고 자주 걱정한다,ASQ-SF
754,"다른 사람들도 각자의 문제가 있으니, 내 문제로 그들을 번거롭게 하지 않는다",ASQ-SF
755,"무언가로 괴로워할 때, 다른 사람들은 대체로 그것을 알아차리고 걱정해 준다",ASQ-SF
756,나는 다른 사람들이 나를 좋아하고 존중해 줄 것이라고 확신한다,ASQ-SF
757,내가 매일 먹는 음식의 질,Birkman Method
758,내가 매일 먹는 음식의 양,Birkman Method
759,내가 매일 마시는 물의 질,Birkman Method
760,내가 매일 마시는 물의 양,Birkman Method
761,추운 날씨에 내가 사용하는 난방의 정도,Birkman Method
762,더운 날씨에 내가 사용하는 냉방의 정도,Birkman Method
763,내가 매일 숨 쉬는 공기의 질,Birkman Method
764,내가 경험하는 성생활의 양,Birkman Method
765,내가 경험하는 성생활의 질,Birkman Method
766,내 신체 건강의 전반적인 상태,Birkman Method
767,충분히 이완되었다고 느낄 수 있을 만큼의 수면량,Birkman Method
768,완전히 회복되었다고 느낄 수 있는 수면의 질,Birkman Method
769,건강을 유지하기 위해 내가 하는 운동의 양,Birkman Method
770,몸의 균형을 유지하는 데 도움이 되는 운동의 종류,Birkman Method
771,나의 전반적인 신체적 체력,Birkman Method
772,내가 살고 있는 집이나 아파트의 질,Birkman Method
773,내가 살고 있는 공간에서 사용할 수 있는 여유 공간,Birkman Method
774,내가 살고 있는 공간에서 느끼는 안정감,Birkman Method
775,신체적 공격으로부터 내가 느끼는 안전함,Birkman Method
776,내가 살고 있는 지역의 안전성,Birkman Method
777,질병에 걸릴 위험으로부터 느끼는 안전함,Birkman Method
778,재난으로부터 느끼는 안전함,Birkman Method
779,환경적 위험 요소로부터 느끼는 보호 수준,Birkman Method
780,경찰이 제공하는 보호,Birkman Method
781,법이 제공하는 보호,Birkman Method
782,테러 행위로부터 느끼는 안전함,Birkman Method
783,전쟁 행위로부터 느끼는 안전함,Birkman Method
784,나의 재정적 안정성,Birkman Method
785,필요할 때 돈을 마련할 수 있는 나의 능력,Birkman Method
786,안정적인 노후를 위해 마련해 둔 자금,Birkman Method
787,내가 아는 사람들과 나누는 친밀감의 정도,Birkman Method
788,친구들과의 관계의 질,Birkman Method
789,배우자 또는 파트너에게서 받는 사랑,Birkman Method
790,가족과 나누는 친밀감,Birkman Method
791,직장 동료들과의 유대감,Birkman Method
792,지역 사회에서 환영받고 있다고 느끼는 정도,Birkman Method
793,친척들과 나누는 따뜻함,Birkman Method
794,친구들에게서 받는 정서적 지지,Birkman Method
795,가족과 함께 있을 때 느끼는 소속감,Birkman Method
796,배우자 또는 파트너에게서 받는 돌봄,Birkman Method
797,동반자들과 나누는 행복감,Birkman Method
798,마음을 터놓는 사람들에게서 받는 공감,Birkman Method
799,지인들과 나누는 즐거움,Birkman Method
800,친구들이 나에게 보여주는 애정,Birkman Method
801,지인들과 느끼는 정서적 가까움,Birkman Method
802,다른 사람들로부터 받는 존경,Birkman Method
803,많은 사람들이 나에게 부여하는 명예,Birkman Method
804,사람들이 나를 한 인간으로서 존중하는 정도,Birkman Method
805,다른 사람들이 바라보는 나의 사회적 위상,Birkman Method
806,사람들이 나를 얼마나 높게 평가하는지,Birkman Method
807,사람들이 나에게 느끼는 높은 존중감,Birkman Method
808,다양한 사람들로부터 받는 인정,Birkman Method
809,사람들이 나에게 느끼는 높은 신뢰와 평가,Birkman Method
810,내가 나 자신을 얼마나 좋아하는지,Birkman Method
811,나 자신에 대한 확신의 정도,Birkman Method
812,나 자신을 얼마나 존중하는지,Birkman Method
813,한 인간으로서 내가 가진 좋은 자질들,Birkman Method
814,나의 자존감,Birkman Method
815,내가 스스로에게 부여하는 존중의 정도,Birkman Method
816,한 사람으로서 나 자신에 대해 느끼는 긍정감,Birkman Method
817,나는 내 성격의 모든 면을 편안하게 받아들인다,Birkman Method
818,나는 완전히 자기 충족된 상태라고 느낀다,Birkman Method
819,나는 지금 내가 항상 되고 싶었던 사람이 되어가고 있다,Birkman Method
820,나는 내 가장 깊은 욕구들을 실현하고 있다,Birkman Method
821,나는 원하는 만큼 나 자신을 허용하고 즐긴다,Birkman Method
822,나는 삶에서 원하던 모든 것을 누리고 있다,Birkman Method
823,나는 내 모든 면을 완전히 받아들인다,Birkman Method
824,나의 행동은 항상 나의 가치관에 따라 이루어진다,Birkman Method
825,나는 내가 원하는 방식으로 삶을 살고 있다,Birkman Method
826,나는 내가 좋아하는 일을 원할 때 한다,Birkman Method
827,나는 내 모든 잠재력을 실제로 발휘하고 있다,Birkman Method
828,나는 삶을 최대한 충만하게 살고 있다,Birkman Method
